"Date","Open","High","Low","Close","Shares Traded","Turnover (Rs. Cr)"
"01-Oct-2018","     3927.70","     4023.00","     3860.40","     4015.50","      247824619","         8024.60"
"03-Oct-2018","     4012.75","     4117.20","     3992.70","     4040.95","      238122399","         8459.90"
"04-Oct-2018","     3992.30","     4039.25","     3934.25","     3964.50","      202356574","         6805.32"
"05-Oct-2018","     3925.85","     3945.80","     3764.50","     3797.45","      245489932","         6857.09"
"08-Oct-2018","     3787.05","     3838.90","     3715.70","     3787.60","      239429171","         7628.59"
"09-Oct-2018","     3800.75","     3839.85","     3736.75","     3792.90","      295092630","         8237.99"
"10-Oct-2018","     3812.80","     3921.50","     3810.60","     3913.80","      203247201","         7495.88"
"11-Oct-2018","     3761.45","     3859.20","     3730.05","     3774.45","      265312497","         8510.50"
"12-Oct-2018","     3833.35","     3876.75","     3829.70","     3861.20","      176420259","         5944.15"
"15-Oct-2018","     3888.95","     3891.50","     3850.80","     3884.95","      115745911","         4121.30"
"16-Oct-2018","     3901.60","     3933.20","     3887.65","     3917.25","      122531934","         4832.02"
"17-Oct-2018","     3959.70","     3968.60","     3758.50","     3768.40","      137849377","         5646.27"
"19-Oct-2018","     3745.00","     3786.70","     3675.70","     3723.85","      193763637","         7667.49"
"22-Oct-2018","     3766.80","     3774.95","     3697.40","     3706.60","      150675569","         6034.44"
"23-Oct-2018","     3676.20","     3725.50","     3631.55","     3659.95","      145709475","         6340.00"
"24-Oct-2018","     3726.75","     3748.60","     3662.05","     3730.85","      175574166","         7284.36"
"25-Oct-2018","     3690.20","     3701.70","     3633.65","     3645.00","      215121770","         7063.90"
"26-Oct-2018","     3629.40","     3674.35","     3581.50","     3618.10","      216908452","         6433.88"
"29-Oct-2018","     3640.75","     3776.25","     3619.80","     3767.55","      172216674","         5360.77"
"30-Oct-2018","     3773.30","     3807.00","     3740.55","     3750.20","      150321002","         4699.12"
"31-Oct-2018","     3761.05","     3816.80","     3686.20","     3809.20","      182403322","         6567.89"
